work_year	salary_in_usd	company_location
2023	95012	Germany
2023	186000	United States
2023	81800	United States
2023	212000	United States
2023	93300	United States
2023	130000	United States
2023	100000	United States
2023	224400	United States
2023	138700	United States
2023	210000	United States
2023	168000	United States
2023	224400	United States
2023	138700	United States
2023	43064	United Kingdom
2023	36912	United Kingdom
2023	95000	United States
2023	75000	United States
2023	300000	United States
2023	234000	United States
2023	140000	United States
2023	120000	United States
2023	204500	United States
2023	142200	United States
2023	155000	United States
2023	110000	United States
2023	266500	United States
2023	152000	United States
2023	222200	United States
2023	136000	United States
2023	273400	United States
2023	182200	United States
2023	167500	United States
2023	106500	United States
2023	185900	United States
2023	129300	United States
2023	185000	United States
2023	79600	United States
2023	122000	United States
2023	94500	United States
2023	247300	United States
2023	139700	United States
2023	176000	United States
2023	100000	United States
2023	204500	United States
2023	142200	United States
2023	247600	United States
2023	127300	United States
2023	223400	United States
2023	186200	United States
2023	167500	United States
2023	106500	United States
2023	185900	United States
2023	129300	United States
2023	72000	United States
2023	64000	United States
2023	179820	United States
2023	143860	United States
2023	283050	United States
2023	188700	United States
2023	133000	United States
2023	58400	United States
2023	141298	United States
2023	115607	United States
2023	100000	United States
2023	75000	United States
2023	266500	Canada
2023	144400	Canada
2023	71363	United Kingdom
2023	55368	United Kingdom
2023	287500	United States
2023	156000	United States
2023	90000	United States
2023	70000	United States
2023	199000	United States
2023	162000	United States
2023	170884	United States
2023	113923	United States
2023	184000	United States
2023	123000	United States
2023	235750	United States
2023	174250	United States
2023	165000	United States
2023	118800	United States
2023	225000	United States
2023	150000	United States
2023	213900	United States
2023	116800	United States
2023	220000	United States
2023	150000	United States
2023	150000	United States
2023	100000	United States
2023	247500	United States
2023	172200	United States
2023	155000	United States
2023	120000	United States
2023	226700	United States
2023	133300	United States
2023	184000	United States
2023	123000	United States
2023	130000	United States
2023	117000	United States
2023	160000	United States
2023	140000	United States
2023	166000	United States
2023	73000	United States
2023	185900	United States
2023	129300	United States
2023	130000	United States
2023	104000	United States
2023	143000	United States
2023	116000	United States
2023	165000	United States
2023	118800	United States
2023	220000	United States
2023	180000	United States
2023	184000	United States
2023	123000	United States
2023	215000	United States
2023	200000	United States
2023	253000	United States
2023	131000	United States
2023	220000	United States
2023	176000	United States
2023	49216	United Kingdom
2023	36912	United Kingdom
2023	210000	United States
2023	147000	United States
2023	186000	United States
2023	161000	United States
2023	205000	United States
2023	152000	United States
2023	220000	Canada
2023	190000	Canada
2023	205000	United States
2023	152000	United States
2023	137000	United States
2023	110000	United States
2023	172000	United States
2023	146000	United States
2023	148000	United States
2023	99000	United States
2023	150000	United States
2023	130000	United States
2023	105000	United States
2023	99000	United States
2023	52500	United States
2023	180514	United States
2023	108308	United States
2023	210000	United States
2023	147000	United States
2023	290300	United States
2023	196685	United States
2023	220000	United States
2023	176000	United States
2023	175000	United States
2023	130000	United States
2023	185000	United States
2023	150000	United States
2023	145000	United States
2023	115000	United States
2023	133000	United States
2023	58300	United States
2023	115000	United States
2023	95000	United States
2023	110244	United Kingdom
2023	39372	United Kingdom
2023	43187	Spain
2023	31310	Spain
2023	92280	United Kingdom
2023	67672	United Kingdom
2023	92280	United Kingdom
2023	67672	United Kingdom
2023	75577	Ireland
2023	303387	Canada
2023	100017	Canada
2023	230300	United States
2023	140000	United States
2023	124935	South Africa
2023	76050	South Africa
2023	224800	United States
2023	131100	United States
2023	258000	United States
2023	171000	United States
2023	196000	United States
2023	121000	United States
2023	195800	United States
2023	171500	United States
2023	166000	United States
2023	73100	United States
2023	220000	United States
2023	160000	United States
2023	85000	United States
2023	65000	United States
2023	220000	United States
2023	100000	United States
2023	185000	United States
2023	152000	United States
2023	220000	United States
2023	100000	United States
2023	48585	Spain
2023	38868	Spain
2023	220000	United States
2023	100000	United States
2023	220000	United States
2023	100000	United States
2023	220000	United States
2023	100000	United States
2023	110000	Poland
2023	80000	Poland
2023	36912	United Kingdom
2023	150200	United States
2023	71000	United States
2023	167200	United States
2023	121000	United States
2023	133000	United States
2023	58400	United States
2023	135000	United States
2023	110000	United States
2023	104584	United Kingdom
2023	73824	United Kingdom
2023	187415	United States
2023	114080	United States
2023	187415	United States
